"obs_id","vtime","Y","delta","Y1","Y2"
"1",1,0,2.52561620836111,1,1.08661442314839,-0.0975087044289644
"2",1,1.67498080665246,2.52561620836111,1,0.996926153621309,0.414743333613722
"3",1,1.20648145815358,2.52561620836111,1,0.922893017127919,0.665984266173366
"4",1,1.64010562514886,2.52561620836111,1,1.11784362852734,0.963452024433412
"5",1,0.503142555244267,2.52561620836111,1,1.05743816878434,0.462457565777816
"6",1,1.01098806131631,2.52561620836111,1,0.431507048010495,-0.31866091542938
"11",2,0,0.965217013917631,1,1.86849252338413,1.70089525721107
"51",2,0.0559291196987033,0.965217013917631,1,1.55613043774274,2.03585296351735
"8",2,0.193778819870204,0.965217013917631,1,1.4507486697967,1.47132999518921
"12",3,0,2.39734754934991,1,1.87395130114005,0.0582949546381617
"21",3,0.974993244744837,2.39734754934991,1,1.31275623515537,-0.19576111764764
"31",3,1.05868895957246,2.39734754934991,1,0.96608891976368,-0.730903181261611
"41",3,0.891342934221029,2.39734754934991,1,2.18344198011404,-0.244610545780696
"52",3,1.93693196540698,2.39734754934991,1,0.992882492407972,-0.823608755187593
"61",3,1.3361711204052,2.39734754934991,1,1.52295601045281,-0.847709896545076
"7",3,0.641681496985257,2.39734754934991,1,1.01942378559709,0.312119242106574
"81",3,1.62317164195701,2.39734754934991,1,0.905021383342231,-0.342618654109666
"13",4,0,0.686411895178142,1,0.871989713199421,0.955164834251307
"32",4,0.298756372649223,0.686411895178142,1,1.10750965583813,0.267539836976055
"42",4,0.286427569575608,0.686411895178142,1,0.0624463220461847,1.38729355627649
"82",4,0.173877841327339,0.686411895178142,1,1.29201381337975,0.328145194303256
"14",5,0,1.33219052747418,1,1.80502772073252,1.99662456521642
"22",5,0.728205677587539,1.33219052747418,1,1.61825408982574,1.97100482156726
"33",5,0.90301080327481,1.33219052747418,1,1.46572621960097,2.05404543602302
"53",5,0.591222310904413,1.33219052747418,1,1.2976736533056,1.84180842482135
"62",5,0.972715919837356,1.33219052747418,1,1.47770027129765,2.50210034658634
"71",5,0.674738458823413,1.33219052747418,1,1.61064228027028,2.20524370743315
"15",6,0,2.28506047567984,1,0.705724263065342,0.150529041489052
"23",6,1.68554142629728,2.28506047567984,1,1.22054188380754,-0.00267960933424627
"34",6,0.320055106654763,2.28506047567984,1,0.561139719829214,0.301939082949369
